,US0001M Index
2012-01-02,
2012-01-03,0.2953
2012-01-04,0.2953
2012-01-05,0.2953
2012-01-06,0.2963
2012-01-09,0.2963
2012-01-10,0.2958
2012-01-11,0.2947
2012-01-12,0.2896
2012-01-13,0.2851
2012-01-16,0.2816
2012-01-17,0.281
2012-01-18,0.2809
2012-01-19,0.2789
2012-01-20,0.2773
2012-01-23,0.2763
2012-01-24,0.2753
2012-01-25,0.2728
2012-01-26,0.2705
2012-01-27,0.27
2012-01-30,0.26775
2012-01-31,0.26475
2012-02-01,0.264
2012-02-02,0.2625
2012-02-03,0.2605
2012-02-06,0.25975
2012-02-07,0.257
2012-02-08,0.25475
2012-02-09,0.2535
2012-02-10,0.2505
2012-02-13,0.2485
2012-02-14,0.2475
2012-02-15,0.246
2012-02-16,0.2455
2012-02-17,0.2455
2012-02-20,0.2455
2012-02-21,0.2455
2012-02-22,0.2445
2012-02-23,0.244
2012-02-24,0.244
2012-02-27,0.244
2012-02-28,0.244
2012-02-29,0.2435
2012-03-01,0.243
2012-03-02,0.24275
2012-03-05,0.24275
2012-03-06,0.24275
2012-03-07,0.24275
2012-03-08,0.24175
2012-03-09,0.24175
2012-03-12,0.24175
2012-03-13,0.24175
2012-03-14,0.24175
2012-03-15,0.24175
2012-03-16,0.24175
2012-03-19,0.24175
2012-03-20,0.24175
2012-03-21,0.24175
2012-03-22,0.24175
2012-03-23,0.24125
2012-03-26,0.24125
2012-03-27,0.24125
2012-03-28,0.24125
2012-03-29,0.24125
2012-03-30,0.24125
2012-04-02,0.24125
2012-04-03,0.24125
2012-04-04,0.24125
2012-04-05,0.24125
2012-04-10,0.24025
2012-04-11,0.24025
2012-04-12,0.24025
2012-04-13,0.23975
2012-04-16,0.23975
2012-04-17,0.23975
2012-04-18,0.23975
2012-04-19,0.23975
2012-04-20,0.23975
2012-04-23,0.23875
2012-04-24,0.23875
2012-04-25,0.23875
2012-04-26,0.23875
2012-04-27,0.23875
2012-04-30,0.23875
2012-05-02,0.23875
2012-05-03,0.23875
2012-05-04,0.23875
2012-05-07,
2012-05-08,0.23875
2012-05-09,0.23875
2012-05-10,0.23875
2012-05-11,0.23875
2012-05-14,0.23875
2012-05-15,0.23875
2012-05-16,0.23975
2012-05-17,0.23975
2012-05-18,0.23975
2012-05-21,0.23975
2012-05-22,0.23875
2012-05-23,0.23875
2012-05-24,0.23875
2012-05-25,0.23875
2012-05-28,0.23875
2012-05-29,0.23875
2012-05-30,0.23875
2012-05-31,0.23875
2012-06-01,0.23975
2012-06-04,
2012-06-05,
2012-06-06,0.24075
2012-06-07,0.24075
2012-06-08,0.24075
2012-06-11,0.24075
2012-06-12,0.24075
2012-06-13,0.24175
2012-06-14,0.24275
2012-06-15,0.24275
2012-06-18,0.24375
2012-06-19,0.24375
2012-06-20,0.24525
2012-06-21,0.24525
2012-06-22,0.24525
2012-06-25,0.24525
2012-06-26,0.24525
2012-06-27,0.24525
2012-06-28,0.24525
2012-06-29,0.24575
2012-07-02,0.24475
2012-07-03,0.24575
2012-07-04,0.24575
2012-07-05,0.24575
2012-07-06,0.24575
2012-07-09,0.24875
2012-07-10,0.24875
2012-07-11,0.24875
2012-07-12,0.24875
2012-07-13,0.24775
2012-07-16,0.24775
2012-07-17,0.24675
2012-07-18,0.24675
2012-07-19,0.24675
2012-07-20,0.24675
2012-07-23,0.2462
2012-07-24,0.2442
2012-07-25,0.2442
2012-07-26,0.2452
2012-07-27,0.2457
2012-07-30,0.2457
2012-07-31,0.2457
2012-08-01,0.2447
2012-08-02,0.24425
2012-08-03,0.24375
2012-08-06,0.24325
2012-08-07,0.24125
2012-08-08,0.24025
2012-08-09,0.23925
2012-08-10,0.23975
2012-08-13,0.2395
2012-08-14,0.2385
2012-08-15,0.238
2012-08-16,0.237
2012-08-17,0.237
2012-08-20,0.236
2012-08-21,0.2375
2012-08-22,0.2365
2012-08-23,0.2355
2012-08-24,0.2345
2012-08-27,
2012-08-28,0.2335
2012-08-29,0.2315
2012-08-30,0.2305
2012-08-31,0.2305
2012-09-03,0.2305
2012-09-04,0.22825
2012-09-05,0.228
2012-09-06,0.2275
2012-09-07,0.228
2012-09-10,0.228
2012-09-11,0.22675
2012-09-12,0.22375
2012-09-13,0.22075
2012-09-14,0.22
2012-09-17,0.219
2012-09-18,0.2185
2012-09-19,0.2185
2012-09-20,0.2165
2012-09-21,0.2165
2012-09-24,0.2165
2012-09-25,0.2155
2012-09-26,0.2155
2012-09-27,0.2145
2012-09-28,0.21425
2012-10-01,0.2135
2012-10-02,0.2145
2012-10-03,0.2185
2012-10-04,0.2185
2012-10-05,0.2185
2012-10-08,0.2175
2012-10-09,0.2155
2012-10-10,0.214
2012-10-11,0.214
2012-10-12,0.214
2012-10-15,0.214
2012-10-16,0.2132
2012-10-17,0.2117
2012-10-18,0.2107
2012-10-19,0.2107
2012-10-22,0.2107
2012-10-23,0.2107
2012-10-24,0.2105
2012-10-25,0.211
2012-10-26,0.212
2012-10-29,0.212
2012-10-30,0.212
2012-10-31,0.212
2012-11-01,0.21
2012-11-02,0.209
2012-11-05,0.208
2012-11-06,0.209
2012-11-07,0.209
2012-11-08,0.209
2012-11-09,0.209
2012-11-12,0.2085
2012-11-13,0.208
2012-11-14,0.2075
2012-11-15,0.2075
2012-11-16,0.2075
2012-11-19,0.2075
2012-11-20,0.2075
2012-11-21,0.2075
2012-11-22,0.2075
2012-11-23,0.2085
2012-11-26,0.209
2012-11-27,0.209
2012-11-28,0.209
2012-11-29,0.2135
2012-11-30,0.2145
2012-12-03,0.215
2012-12-04,0.213
2012-12-05,0.213
2012-12-06,0.213
2012-12-07,0.212
2012-12-10,0.212
2012-12-11,0.211
2012-12-12,0.209
2012-12-13,0.209
2012-12-14,0.209
2012-12-17,0.21
2012-12-18,0.2107
2012-12-19,0.2107
2012-12-20,0.2107
2012-12-21,0.2097
2012-12-24,0.2097
2012-12-27,0.2117
2012-12-28,0.2097
2012-12-31,0.2087
2013-01-02,0.2077
2013-01-03,0.2077
2013-01-04,0.2077
2013-01-07,0.2077
2013-01-08,0.2077
2013-01-09,0.2067
2013-01-10,0.2057
2013-01-11,0.2057
2013-01-14,0.2057
2013-01-15,0.2057
2013-01-16,0.2057
2013-01-17,0.2047
2013-01-18,0.2047
2013-01-21,0.2047
2013-01-22,0.2047
2013-01-23,0.2037
2013-01-24,0.2037
2013-01-25,0.2037
2013-01-28,0.2027
2013-01-29,0.2017
2013-01-30,0.2017
2013-01-31,0.1997
2013-02-01,0.1992
2013-02-04,0.1982
2013-02-05,0.1992
2013-02-06,0.1992
2013-02-07,0.1992
2013-02-08,0.2002
2013-02-11,0.2022
2013-02-12,0.2012
2013-02-13,0.2012
2013-02-14,0.2017
2013-02-15,0.2022
2013-02-18,0.2007
2013-02-19,0.2017
2013-02-20,0.2017
2013-02-21,0.2017
2013-02-22,0.2027
2013-02-25,0.2027
2013-02-26,0.2037
2013-02-27,0.2037
2013-02-28,0.2037
2013-03-01,0.2037
2013-03-04,0.2052
2013-03-05,0.2032
2013-03-06,0.2022
2013-03-07,0.2022
2013-03-08,0.2022
2013-03-11,0.2022
2013-03-12,0.2032
2013-03-13,0.2032
2013-03-14,0.2032
2013-03-15,0.2032
2013-03-18,0.2032
2013-03-19,0.2037
2013-03-20,0.2047
2013-03-21,0.2042
2013-03-22,0.2042
2013-03-25,0.2042
2013-03-26,0.2037
2013-03-27,0.2037
2013-03-28,0.2037
2013-04-02,0.2027
2013-04-03,0.2017
2013-04-04,0.2003
2013-04-05,0.2003
2013-04-08,0.2003
2013-04-09,0.1993
2013-04-10,0.1993
2013-04-11,0.1987
2013-04-12,0.1997
2013-04-15,0.1997
2013-04-16,0.2002
2013-04-17,0.1992
2013-04-18,0.1992
2013-04-19,0.1992
2013-04-22,0.1992
2013-04-23,0.2002
2013-04-24,0.1982
2013-04-25,0.1982
2013-04-26,0.1982
2013-04-29,0.1982
2013-04-30,0.1982
2013-05-02,0.1982
2013-05-03,0.1982
2013-05-06,
2013-05-07,0.1992
2013-05-08,0.1992
2013-05-09,0.1992
2013-05-10,0.1992
2013-05-13,0.1992
2013-05-14,0.1982
2013-05-15,0.1982
2013-05-16,0.1982
2013-05-17,0.19678
2013-05-20,0.19618
2013-05-21,0.19628
2013-05-22,0.19528
2013-05-23,0.19328
2013-05-24,0.19328
2013-05-27,
2013-05-28,0.19278
2013-05-29,0.19378
2013-05-30,0.19378
2013-05-31,0.19428
