quote,value
EUR.DEPOSIT.6M,-0.377
EUR.FRA.1M,-0.366
EUR.FRA.2M,-0.387
EUR.FRA.3M,-0.392
EUR.FRA.4M,-0.405
EUR.FRA.5M,-0.418
EUR.FRA.6M,-0.423
EUR.FRA.7M,-0.436
EUR.FRA.8M,-0.437
EUR.FRA.9M,-0.442
EUR.FRA.10M,-0.444
EUR.FRA.11M,-0.444
EUR.FRA.12M,-0.444
EUR.SWAP.2Y,-0.4272
EUR.SWAP.3Y,-0.4198
EUR.SWAP.4Y,-0.383
EUR.SWAP.5Y,-0.3363
EUR.SWAP.6Y,-0.2792
EUR.SWAP.7Y,-0.214
EUR.SWAP.8Y,-0.1435
EUR.SWAP.9Y,-0.0715
EUR.SWAP.10Y,-0.001
EUR.SWAP.11Y,0.067
EUR.SWAP.12Y,0.1253
EUR.SWAP.15Y,0.275
EUR.SWAP.20Y,0.413
EUR.SWAP.25Y,0.4601
EUR.SWAP.30Y,0.465
EUR.SWAP.35Y,0.4523
EUR.SWAP.40Y,0.4276
EUR.SWAP.45Y,0.3991
EUR.SWAP.50Y,0.3835
EUR.ON.1D,-0.369
EUR.OIS.1W,-0.4485
EUR.OIS.2W,-0.4538
EUR.OIS.1M,-0.458
EUR.OIS.2M,-0.4485
EUR.OIS.3M,-0.44
EUR.OIS.4M,-0.456
EUR.OIS.5M,-0.461
EUR.OIS.6M,-0.469
EUR.OIS.7M,-0.478
EUR.OIS.8M,-0.486
EUR.OIS.9M,-0.493
EUR.OIS.10M,-0.5
EUR.OIS.11M,-0.507
EUR.OIS.12M,-0.512
EUR.OIS.18M,-0.536
EUR.OIS.2Y,-0.545
EUR.OIS.30M,-0.557
EUR.OIS.3Y,-0.55
EUR.OIS.4Y,-0.537
EUR.OIS.5Y,-0.483
EUR.OIS.6Y,-0.45
EUR.OIS.7Y,-0.371
EUR.OIS.8Y,-0.302
EUR.OIS.9Y,-0.23
EUR.OIS.10Y,-0.159
EUR.OIS.11Y,-0.093
EUR.OIS.12Y,-0.03
EUR.OIS.15Y,0.115
EUR.OIS.20Y,0.277
EUR.OIS.25Y,0.334
EUR.OIS.30Y,0.349
EUR.OIS.35Y,0.3284
EUR.OIS.40Y,0.278
PLN.DEPOSIT.6M,1.79
PLN.FRA.1M,1.79
PLN.FRA.2M,1.79
PLN.FRA.3M,1.7850000000000001
PLN.FRA.4M,1.7816999999999998
PLN.FRA.5M,1.7808000000000002
PLN.FRA.6M,1.78
PLN.FRA.12M,1.7625
PLN.SWAP.2Y,1.78
PLN.SWAP.3Y,1.7725
PLN.SWAP.4Y,1.7825
PLN.SWAP.5Y,1.8
PLN.SWAP.6Y,1.8125
PLN.SWAP.7Y,1.8175
PLN.SWAP.8Y,1.8199999999999998
PLN.SWAP.9Y,1.8275000000000001
PLN.SWAP.10Y,1.8399999999999999
PLN.SWAP.15Y,1.8725
PLN.SWAP.20Y,1.9125
PLN.SWAP.30Y,1.7945
TWD.DEPOSIT.1W,0.266
TWD.DEPOSIT.2W,0.34233
TWD.DEPOSIT.1M,0.54578
TWD.DEPOSIT.2M,0.62633
TWD.DEPOSIT.3M,0.66811
TWD.SWAP.1Y,0.645
TWD.SWAP.2Y,0.6425
TWD.SWAP.3Y,0.655
TWD.SWAP.4Y,0.675
TWD.SWAP.5Y,0.695
TWD.SWAP.7Y,0.7875
TWD.SWAP.10Y,0.9375
TWD.SWAP.12Y,1.015
TWD.SWAP.15Y,1.09
PLN.DEPOSIT.3M,1.72
PLN.FRA3M.1M,1.72
PLN.FRA3M.2M,1.7175
PLN.FRA3M.3M,1.7149999999999999
PLN.FRA3M.4M,1.7107
PLN.FRA3M.5M,1.7079
PLN.FRA3M.6M,1.7
PLN.FRA3M.7M,1.7004000000000001
PLN.FRA3M.8M,1.6947999999999999
PLN.FRA3M.9M,1.69
PLN.FRA3M.12M,1.6800000000000002
PLN.FRA3M.15M,1.665
PLN.FRA3M.18M,1.645
PLN.FRA3M.21M,1.615
PLN.SWAP3M.3Y,1.7
PLN.SWAP3M.4Y,1.71
PLN.SWAP3M.5Y,1.72
PLN.SWAP3M.6Y,1.73
PLN.SWAP3M.7Y,1.73
PLN.SWAP3M.8Y,1.74
PLN.SWAP3M.9Y,1.75
PLN.SWAP3M.10Y,1.75
PLN.SWAP3M.12Y,1.78
PLN.SWAP3M.15Y,1.8599999999999999
PLN.SWAP3M.20Y,1.96
COP.ON.1D,4.106
COP.OIS.1M,4.125
COP.OIS.3M,4.1185
COP.OIS.6M,4.1526
COP.OIS.9M,4.17
COP.OIS.12M,4.18
