quote,value
AUD.OIS.3Y,0.63
AUD.OIS.4Y,0.64
AUD.OIS.5Y,0.67
AUD.OIS.6Y,0.725
AUD.OIS.7Y,0.778
AUD.OIS.8Y,0.83
AUD.OIS.9Y,0.883
AUD.OIS.10Y,0.935
AUD.OIS.12Y,1.025
AUD.OIS.15Y,1.135
AUD.OIS.20Y,1.2530000000000001
AUD.OIS.25Y,1.295
AUD.OIS.30Y,1.285
CHF.ON.1D,-0.731764
CHF.OIS.1W,-0.78
CHF.OIS.2W,-0.78
CHF.OIS.1M,-0.87
CHF.OIS.2M,-0.815
CHF.OIS.3M,-0.81
CHF.OIS.6M,-0.8575
CHF.OIS.9M,-0.865
CHF.OIS.10M,-0.8625
CHF.OIS.12M,-0.8675
CHF.OIS.18M,-0.8725
CHF.OIS.2Y,-0.8725
CHF.OIS.3Y,-0.845
CHF.OIS.4Y,-0.805
CHF.OIS.5Y,-0.7575
CHF.OIS.6Y,-0.695
CHF.OIS.7Y,-0.63
CHF.OIS.8Y,-0.5675
CHF.OIS.9Y,-0.5
CHF.OIS.10Y,-0.44
CHF.OIS.12Y,-0.3225
CHF.OIS.15Y,-0.195
CHF.OIS.20Y,-0.0825
CHF.OIS.25Y,-0.05
CHF.OIS.30Y,-0.0375
CHF.DEPOSIT.6M,-0.7536
CHF.FRA.1M,-0.759
CHF.FRA.2M,-0.765
CHF.FRA.3M,-0.77
CHF.FRA.4M,-0.77
CHF.FRA.5M,-0.77
CHF.FRA.6M,-0.7771
CHF.FRA.9M,-0.7825
CHF.SWAP.2Y,-0.7835
CHF.SWAP.3Y,-0.7625
CHF.SWAP.4Y,-0.7285
CHF.SWAP.5Y,-0.684
CHF.SWAP.6Y,-0.626
CHF.SWAP.7Y,-0.56
CHF.SWAP.8Y,-0.4925
CHF.SWAP.9Y,-0.4255
CHF.SWAP.10Y,-0.3625
CHF.SWAP.12Y,-0.2475
CHF.SWAP.15Y,-0.1205
CHF.SWAP.20Y,-0.0075
CHF.SWAP.25Y,0.0275
CHF.SWAP.30Y,0.04
CHF.DEPOSIT.1W,-0.8458
CHF.DEPOSIT.1M,-0.8664
CHF.DEPOSIT.2M,-0.8174
CHF.DEPOSIT.3M,-0.8108
CHF.FUTURE.1,100.83
CHF.FUTURE.2,100.84
CHF.FUTURE.3,100.85
CHF.FUTURE.4,100.85
CHF.FUTURE.5,100.85
CHF.FUTURE.6,100.84
CHF.SWAP3M.2Y,-0.8517
CHF.SWAP3M.3Y,-0.8275
CHF.SWAP3M.4Y,-0.7908
CHF.SWAP3M.5Y,-0.7455
CHF.SWAP3M.6Y,-0.6855
CHF.SWAP3M.7Y,-0.6205
CHF.SWAP3M.8Y,-0.5545
CHF.SWAP3M.9Y,-0.4885
CHF.SWAP3M.10Y,-0.425
CHF.SWAP3M.11Y,-0.3625
CHF.SWAP3M.12Y,-0.31
CHF.SWAP3M.15Y,-0.18
CHF.SWAP3M.20Y,-0.065
CHF.SWAP3M.25Y,-0.0305
CHF.SWAP3M.30Y,-0.02
HUF.DEPOSIT.6M,0.25
HUF.FRA.1M,0.2475
HUF.FRA.2M,0.255
HUF.FRA.3M,0.265
HUF.FRA.4M,0.305
HUF.FRA.5M,0.32
HUF.FRA.6M,0.3
HUF.SWAP.2Y,0.3725
HUF.SWAP.3Y,0.4938
HUF.SWAP.4Y,0.625
HUF.SWAP.5Y,0.745
HUF.SWAP.6Y,0.865
HUF.SWAP.7Y,0.98
HUF.SWAP.8Y,1.085
HUF.SWAP.9Y,1.1913
HUF.SWAP.10Y,1.29
HUF.SWAP.12Y,1.5
HUF.SWAP.15Y,1.7349999999999999
HUF.SWAP.20Y,1.99
JPY.ON.1D,-0.065
JPY.OIS.1W,-0.058
JPY.OIS.2W,-0.06
JPY.OIS.3W,-0.0638
JPY.OIS.1M,-0.0675
JPY.OIS.2M,-0.0825
JPY.OIS.3M,-0.095
JPY.OIS.4M,-0.108
JPY.OIS.5M,-0.1175
JPY.OIS.6M,-0.125
JPY.OIS.7M,-0.132
JPY.OIS.8M,-0.1375
JPY.OIS.9M,-0.14125
JPY.OIS.10M,-0.1455
JPY.OIS.11M,-0.15
JPY.OIS.12M,-0.1525
JPY.OIS.18M,-0.1675
JPY.OIS.2Y,-0.1775
JPY.OIS.3Y,-0.18625
JPY.OIS.4Y,-0.18
JPY.OIS.5Y,-0.16875
JPY.OIS.6Y,-0.1513
JPY.OIS.7Y,-0.13
JPY.OIS.8Y,-0.1063
JPY.OIS.9Y,-0.0794
JPY.OIS.10Y,-0.0525
JPY.OIS.11Y,-0.025
JPY.OIS.12Y,0.0006
JPY.OIS.15Y,0.07625
JPY.OIS.20Y,0.1675
JPY.OIS.25Y,0.2281
JPY.OIS.30Y,0.2713
JPY.OIS.35Y,0.2831
JPY.OIS.40Y,0.2881
KRW.DEPOSIT.1D,1.47
KRW.DEPOSIT.3M,1.54
KRW.SWAP.6M,1.4575
KRW.SWAP.9M,1.41
KRW.SWAP.1Y,1.38
KRW.SWAP.2Y,1.31
KRW.SWAP.3Y,1.2875
KRW.SWAP.4Y,1.2775
KRW.SWAP.5Y,1.27
KRW.SWAP.7Y,1.27
KRW.SWAP.10Y,1.3025
KRW.SWAP.12Y,1.3175
KRW.SWAP.15Y,1.305
KRW.SWAP.20Y,1.23
ZAR.DEPOSIT.3M,6.808
ZAR.FRA3M.1M,6.6899999999999995
ZAR.FRA3M.2M,6.67
ZAR.FRA3M.3M,6.58
ZAR.FRA3M.4M,6.535
ZAR.FRA3M.5M,6.51
ZAR.FRA3M.6M,6.5
ZAR.FRA3M.7M,6.46
ZAR.FRA3M.8M,6.45
ZAR.FRA3M.9M,6.425
ZAR.FRA3M.12M,6.42
ZAR.FRA3M.15M,6.465
ZAR.FRA3M.18M,6.515
ZAR.FRA3M.21M,6.605
ZAR.SWAP3M.3Y,6.645
ZAR.SWAP3M.4Y,6.78
ZAR.SWAP3M.5Y,6.93
ZAR.SWAP3M.6Y,7.08
ZAR.SWAP3M.7Y,7.232
ZAR.SWAP3M.8Y,7.378
ZAR.SWAP3M.9Y,7.5120000000000005
ZAR.SWAP3M.10Y,7.625
ZAR.SWAP3M.12Y,7.8
ZAR.SWAP3M.15Y,7.965
ZAR.SWAP3M.20Y,8.025
ZAR.SWAP3M.25Y,7.965
ZAR.SWAP3M.30Y,7.865
USD.DEPOSIT.1M,2.057
USD.DEPOSIT.3M,2.16413
USD.DEPOSIT.6M,2.08525
USD.FUTURE.1,97.97
USD.FUTURE.2,98.265
USD.FUTURE.3,98.38
USD.FUTURE.4,98.455
USD.FUTURE.5,98.45
USD.FUTURE.6,98.535
USD.SWAP3M.3M,2.169
USD.SWAP3M.6M,2.1199
USD.SWAP3M.9M,2.0032
USD.SWAP3M.1Y,1.9195
USD.SWAP3M.18M,1.7997999999999998
USD.SWAP3M.2Y,1.7231
USD.SWAP3M.3Y,1.6432
USD.SWAP3M.4Y,1.6107
USD.SWAP3M.5Y,1.6032
USD.SWAP3M.6Y,1.6095000000000002
USD.SWAP3M.7Y,1.6227
USD.SWAP3M.8Y,1.6418
USD.SWAP3M.9Y,1.6646
USD.SWAP3M.10Y,1.688
USD.SWAP3M.11Y,1.7102
USD.SWAP3M.12Y,1.7288000000000001
USD.SWAP3M.15Y,1.7765
USD.SWAP3M.20Y,1.8291
USD.SWAP3M.25Y,1.8486
USD.SWAP3M.30Y,1.8538000000000001
USD.SWAP3M.40Y,1.8338
USD.SWAP3M.50Y,1.8050000000000002
USD.BASIS3M6M.1Y,1.943
USD.BASIS3M6M.18M,3.0
USD.BASIS3M6M.2Y,3.625
USD.BASIS3M6M.3Y,4.5
USD.BASIS3M6M.4Y,5.55
USD.BASIS3M6M.5Y,5.95
USD.BASIS3M6M.7Y,7.35
USD.BASIS3M6M.10Y,8.5
USD.BASIS3M6M.12Y,9.0
USD.BASIS3M6M.15Y,9.75
USD.BASIS3M6M.20Y,10.25
USD.BASIS3M6M.25Y,10.625
USD.BASIS3M6M.30Y,11.175
USD.BASIS3M1M.3M,16.85
USD.BASIS3M1M.6M,22.875
USD.BASIS3M1M.9M,20.75
USD.BASIS3M1M.1Y,17.9
USD.BASIS3M1M.18M,17.5
USD.BASIS3M1M.2Y,14.982
USD.BASIS3M1M.3Y,13.125
USD.BASIS3M1M.4Y,12.125
USD.BASIS3M1M.5Y,11.875
USD.BASIS3M1M.7Y,11.15
USD.BASIS3M1M.10Y,10.85
USD.BASIS3M1M.12Y,10.875
USD.BASIS3M1M.15Y,10.625
USD.BASIS3M1M.20Y,10.5
USD.BASIS3M1M.25Y,9.863
USD.BASIS3M1M.30Y,10.625
SEK.ON.1D,-0.219
SEK.OIS.1M,-0.205
SEK.OIS.2M,-0.215
SEK.OIS.3M,-0.2365
SEK.OIS.6M,-0.246
SEK.OIS.9M,-0.23
SEK.OIS.1Y,-0.216
SEK.OIS.18M,-0.212
SEK.OIS.2Y,-0.2277
SEK.OIS.3Y,-0.2011
SEK.OIS.4Y,-0.1578
SEK.OIS.5Y,-0.1104
SEK.OIS.6Y,-0.041
SEK.OIS.7Y,0.025
SEK.OIS.8Y,0.0887
SEK.OIS.9Y,0.1605
SEK.OIS.10Y,0.23
SEK.OIS.12Y,0.3345
SEK.OIS.15Y,0.4681
SEK.OIS.20Y,0.584
SEK.OIS.25Y,0.626
SEK.OIS.30Y,0.6211
HKD.DEPOSIT.3M,2.28357
HKD.FRA.3M,2.35
HKD.FRA.6M,2.06
HKD.SWAP.1Y,2.16
HKD.SWAP.18M,2.04
HKD.SWAP.2Y,1.9449999999999998
HKD.SWAP.3Y,1.8599999999999999
HKD.SWAP.4Y,1.79
HKD.SWAP.5Y,1.755
HKD.SWAP.7Y,1.7503199999999999
HKD.SWAP.10Y,1.78
HKD.SWAP.12Y,1.8
HKD.SWAP.15Y,1.835
JPY.DEPOSIT.6M,-0.058
JPY.FRA.1M,-0.06
JPY.FRA.2M,-0.07875
JPY.FRA.3M,-0.08625
JPY.FRA.4M,-0.0975
JPY.FRA.5M,-0.1
JPY.FRA.6M,-0.11
JPY.SWAP.18M,-0.09875
JPY.SWAP.2Y,-0.1095
JPY.SWAP.3Y,-0.11625
JPY.SWAP.4Y,-0.11125
JPY.SWAP.5Y,-0.09875
JPY.SWAP.6Y,-0.0813
JPY.SWAP.7Y,-0.05875
JPY.SWAP.8Y,-0.04135
JPY.SWAP.9Y,-0.0199
JPY.SWAP.10Y,0.02375
JPY.SWAP.12Y,0.075
JPY.SWAP.15Y,0.15
JPY.SWAP.20Y,0.23875
JPY.SWAP.25Y,0.29875
JPY.SWAP.30Y,0.34125
JPY.SWAP.35Y,0.35375
JPY.SWAP.40Y,0.3575
NZD.ON.1D,1.0
NZD.OIS.1M,0.9725
NZD.OIS.2M,0.9525
NZD.OIS.3M,0.91
NZD.OIS.4M,0.885
NZD.OIS.5M,0.869
NZD.OIS.6M,0.845
NZD.OIS.9M,0.79
NZD.OIS.1Y,0.7525
NZD.OIS.18M,0.71
NZD.OIS.2Y,0.696
NZD.OIS.3Y,0.703
NZD.OIS.4Y,0.72
NZD.OIS.5Y,0.759
NZD.OIS.6Y,0.8325
NZD.OIS.7Y,0.9
NZD.OIS.8Y,0.965
NZD.OIS.9Y,1.025
NZD.OIS.10Y,1.0825
NZD.OIS.12Y,1.1925
NZD.OIS.15Y,1.3175
NZD.OIS.20Y,1.47
SGD.DEPOSIT.6M,1.70851
SGD.SWAP.1Y,1.6625
SGD.SWAP.18M,1.6388
SGD.SWAP.2Y,1.6225
SGD.SWAP.3Y,1.6099999999999999
SGD.SWAP.4Y,1.6099999999999999
SGD.SWAP.5Y,1.625
SGD.SWAP.6Y,1.6465
SGD.SWAP.7Y,1.6738
SGD.SWAP.8Y,1.705
SGD.SWAP.9Y,1.7349999999999999
SGD.SWAP.10Y,1.76
SGD.SWAP.12Y,1.8239999999999998
SGD.SWAP.15Y,1.875
SGD.SWAP.20Y,1.94
SGD.SWAP.30Y,1.96
THB.DEPOSIT.1W,1.6981000000000002
THB.DEPOSIT.1M,1.5377
THB.DEPOSIT.2M,1.5834000000000001
THB.DEPOSIT.3M,1.553
THB.DEPOSIT.6M,1.4551
THB.SWAP.1Y,1.37
THB.SWAP.2Y,1.31
THB.SWAP.3Y,1.325
THB.SWAP.4Y,1.35
THB.SWAP.5Y,1.37
THB.SWAP.7Y,1.435
THB.SWAP.10Y,1.5
THB.SWAP.12Y,1.52
THB.SWAP.15Y,1.585
THB.SWAP.20Y,1.705
CZK.DEPOSIT.6M,2.16
CZK.FRA.1M,2.145
CZK.FRA.2M,2.128
CZK.FRA.3M,2.15
CZK.FRA.4M,2.095
CZK.FRA.5M,2.063
CZK.FRA.6M,2.05
CZK.FRA.12M,1.9
CZK.SWAP.2Y,1.9875
CZK.SWAP.3Y,1.87
CZK.SWAP.4Y,1.755
CZK.SWAP.5Y,1.6475
CZK.SWAP.6Y,1.5525
CZK.SWAP.7Y,1.48
CZK.SWAP.8Y,1.43
CZK.SWAP.9Y,1.3975
CZK.SWAP.10Y,1.3900000000000001
CZK.SWAP.12Y,1.3725
CZK.SWAP.15Y,1.455
CZK.SWAP.20Y,1.495
CZK.SWAP.30Y,1.5350000000000001
GBP.ON.1D,0.711
GBP.OIS.1W,0.708
GBP.OIS.2W,0.7062
GBP.OIS.1M,0.709
GBP.OIS.2M,0.70325
GBP.OIS.3M,0.6945
GBP.OIS.4M,0.6855
GBP.OIS.5M,0.67637
GBP.OIS.6M,0.66925
GBP.OIS.7M,0.66225
GBP.OIS.8M,0.656
GBP.OIS.9M,0.65
GBP.OIS.10M,0.645
GBP.OIS.11M,0.64075
GBP.OIS.1Y,0.6405
GBP.OIS.18M,0.621
GBP.OIS.2Y,0.61125
GBP.OIS.3Y,0.595
GBP.OIS.4Y,0.58125
GBP.OIS.5Y,0.5715
GBP.OIS.6Y,0.56925
GBP.OIS.7Y,0.57225
GBP.OIS.8Y,0.57925
GBP.OIS.9Y,0.58935
GBP.OIS.10Y,0.6
GBP.OIS.12Y,0.61725
GBP.OIS.15Y,0.638
GBP.OIS.20Y,0.6512
GBP.OIS.25Y,0.6498
GBP.OIS.30Y,0.6476
GBP.OIS.40Y,0.6468
GBP.OIS.50Y,0.6386
EUR.DEPOSIT.1M,-0.447
EUR.SWAP1M.2M,-0.454
EUR.SWAP1M.3M,-0.4503
EUR.SWAP1M.4M,-0.4592
EUR.SWAP1M.5M,-0.465
EUR.SWAP1M.6M,-0.477
EUR.SWAP1M.7M,-0.487
EUR.SWAP1M.8M,-0.494
EUR.SWAP1M.9M,-0.499
EUR.SWAP1M.10M,-0.508
EUR.SWAP1M.11M,-0.516
EUR.SWAP1M.1Y,-0.526
EUR.SWAP1M.15M,-0.53
EUR.SWAP1M.18M,-0.551
EUR.SWAP1M.21M,-0.559
EUR.SWAP1M.2Y,-0.553
EUR.SWAP1M.3Y,-0.561
EUR.SWAP1M.4Y,-0.5382
EUR.SWAP1M.5Y,-0.5017
EUR.SWAP1M.6Y,-0.4527
EUR.SWAP1M.7Y,-0.3978
EUR.SWAP1M.8Y,-0.329
EUR.SWAP1M.9Y,-0.2598
EUR.SWAP1M.10Y,-0.196
EUR.SWAP1M.12Y,-0.07
EUR.SWAP1M.15Y,0.087
EUR.SWAP1M.20Y,0.2345
EUR.SWAP1M.25Y,0.289
EUR.SWAP1M.30Y,0.301
EUR.DEPOSIT.1W,-0.468
EUR.DEPOSIT.12M,-0.304
EUR.BASIS6M12M.2Y,9.0
EUR.BASIS6M12M.3Y,9.0
EUR.BASIS6M12M.4Y,9.0
EUR.BASIS6M12M.5Y,9.15
EUR.BASIS6M12M.6Y,9.5
EUR.BASIS6M12M.7Y,9.45
EUR.BASIS6M12M.8Y,9.4
EUR.BASIS6M12M.9Y,9.3
