quote,value
EUR.DEPOSIT.6M,-0.369
EUR.FRA.1M,-0.375
EUR.FRA.2M,-0.386
EUR.FRA.3M,-0.4
EUR.FRA.4M,-0.411
EUR.FRA.5M,-0.4245
EUR.FRA.6M,-0.432
EUR.FRA.7M,-0.4395
EUR.FRA.8M,-0.443
EUR.FRA.9M,-0.4515
EUR.FRA.10M,-0.453
EUR.FRA.11M,-0.456
EUR.FRA.12M,-0.459
EUR.SWAP.2Y,-0.4302
EUR.SWAP.3Y,-0.4329
EUR.SWAP.4Y,-0.415
EUR.SWAP.5Y,-0.383
EUR.SWAP.6Y,-0.339
EUR.SWAP.7Y,-0.2878
EUR.SWAP.8Y,-0.2265
EUR.SWAP.9Y,-0.1628
EUR.SWAP.10Y,-0.1002
EUR.SWAP.11Y,-0.0396
EUR.SWAP.12Y,0.0152
EUR.SWAP.15Y,0.154
EUR.SWAP.20Y,0.2789
EUR.SWAP.25Y,0.313
EUR.SWAP.30Y,0.314
EUR.SWAP.35Y,0.303
EUR.SWAP.40Y,0.274
EUR.SWAP.45Y,0.2515
EUR.SWAP.50Y,0.2327
EUR.ON.1D,-0.457
EUR.OIS.1W,-0.458
EUR.OIS.2W,-0.46
EUR.OIS.1M,-0.45
EUR.OIS.2M,-0.4535
EUR.OIS.3M,-0.4493
EUR.OIS.4M,-0.4573
EUR.OIS.5M,-0.4648
EUR.OIS.6M,-0.4708
EUR.OIS.7M,-0.4798
EUR.OIS.8M,-0.488
EUR.OIS.9M,-0.4968
EUR.OIS.10M,-0.5043
EUR.OIS.11M,-0.5113
EUR.OIS.12M,-0.5178
EUR.OIS.18M,-0.547
EUR.OIS.2Y,-0.562
EUR.OIS.30M,-0.5745
EUR.OIS.3Y,-0.574
EUR.OIS.4Y,-0.579
EUR.OIS.5Y,-0.533
EUR.OIS.6Y,-0.51
EUR.OIS.7Y,-0.445
EUR.OIS.8Y,-0.386
EUR.OIS.9Y,-0.324
EUR.OIS.10Y,-0.262
EUR.OIS.11Y,-0.203
EUR.OIS.12Y,-0.147
EUR.OIS.15Y,-0.013
EUR.OIS.20Y,0.134
EUR.OIS.25Y,0.185
EUR.OIS.30Y,0.197
EUR.OIS.35Y,0.1808
EUR.OIS.40Y,0.134
PLN.DEPOSIT.6M,1.79
PLN.FRA.1M,1.79
PLN.FRA.2M,1.787
PLN.FRA.3M,1.78
PLN.FRA.4M,1.7828
PLN.FRA.5M,1.7797
PLN.FRA.6M,1.7650000000000001
PLN.FRA.12M,1.72
PLN.SWAP.2Y,1.745
PLN.SWAP.3Y,1.7349999999999999
PLN.SWAP.4Y,1.74
PLN.SWAP.5Y,1.7475
PLN.SWAP.6Y,1.7525
PLN.SWAP.7Y,1.755
PLN.SWAP.8Y,1.76
PLN.SWAP.9Y,1.7675
PLN.SWAP.10Y,1.78
PLN.SWAP.15Y,1.8125
PLN.SWAP.20Y,1.8525
PLN.SWAP.30Y,1.7403
TWD.DEPOSIT.1W,0.266
TWD.DEPOSIT.2W,0.34233
TWD.DEPOSIT.1M,0.54622
TWD.DEPOSIT.2M,0.62633
TWD.DEPOSIT.3M,0.66811
TWD.SWAP.1Y,0.6475
TWD.SWAP.2Y,0.6488
TWD.SWAP.3Y,0.6675
TWD.SWAP.4Y,0.68
TWD.SWAP.5Y,0.7125
TWD.SWAP.7Y,0.8
TWD.SWAP.10Y,0.944
TWD.SWAP.12Y,1.015
TWD.SWAP.15Y,1.09
PLN.DEPOSIT.3M,1.72
PLN.FRA3M.1M,1.72
PLN.FRA3M.2M,1.7075
PLN.FRA3M.3M,1.705
PLN.FRA3M.4M,1.7115
PLN.FRA3M.5M,1.7063000000000001
PLN.FRA3M.6M,1.69
PLN.FRA3M.7M,1.693
PLN.FRA3M.8M,1.6851
PLN.FRA3M.9M,1.675
PLN.FRA3M.12M,1.6475
PLN.FRA3M.15M,1.6225
PLN.FRA3M.18M,1.595
PLN.FRA3M.21M,1.5675
PLN.SWAP3M.3Y,1.49
PLN.SWAP3M.4Y,1.47
PLN.SWAP3M.5Y,1.47
PLN.SWAP3M.6Y,1.47
PLN.SWAP3M.7Y,1.48
PLN.SWAP3M.8Y,1.49
PLN.SWAP3M.9Y,1.51
PLN.SWAP3M.10Y,1.69
PLN.SWAP3M.12Y,1.56
PLN.SWAP3M.15Y,1.65
PLN.SWAP3M.20Y,1.74
COP.ON.1D,4.106
COP.OIS.1M,4.125
COP.OIS.3M,4.135
COP.OIS.6M,4.1401
COP.OIS.9M,4.155
COP.OIS.12M,4.165
COP.OIS.18M,4.216
COP.OIS.2Y,4.15
COP.OIS.3Y,4.27
COP.OIS.4Y,4.405
COP.OIS.5Y,4.535
COP.OIS.7Y,4.8149999999999995
COP.OIS.8Y,4.95
COP.OIS.10Y,5.21
COP.OIS.12Y,5.39
COP.OIS.15Y,5.54
COP.OIS.20Y,5.76
EUR.DEPOSIT.3M,-0.396
