quote,value
EUR.DEPOSIT.6M,-0.361
EUR.FRA.1M,-0.37
EUR.FRA.2M,-0.384
EUR.FRA.3M,-0.396
EUR.FRA.4M,-0.407
EUR.FRA.5M,-0.4175
EUR.FRA.6M,-0.427
EUR.FRA.7M,-0.434
EUR.FRA.8M,-0.436
EUR.FRA.9M,-0.441
EUR.FRA.10M,-0.445
EUR.FRA.11M,-0.448
EUR.FRA.12M,-0.45
EUR.SWAP.2Y,-0.426
EUR.SWAP.3Y,-0.4238
EUR.SWAP.4Y,-0.396
EUR.SWAP.5Y,-0.3564
EUR.SWAP.6Y,-0.3058
EUR.SWAP.7Y,-0.2467
EUR.SWAP.8Y,-0.1805
EUR.SWAP.9Y,-0.11
EUR.SWAP.10Y,-0.045
EUR.SWAP.11Y,0.0221
EUR.SWAP.12Y,0.0832
EUR.SWAP.15Y,0.2305
EUR.SWAP.20Y,0.364
EUR.SWAP.25Y,0.409
EUR.SWAP.30Y,0.412
EUR.SWAP.35Y,0.3937
EUR.SWAP.40Y,0.374
EUR.SWAP.45Y,0.3431
EUR.SWAP.50Y,0.3327
EUR.ON.1D,-0.367
EUR.OIS.1W,-0.46
EUR.OIS.2W,-0.46
EUR.OIS.1M,-0.45
EUR.OIS.2M,-0.45
EUR.OIS.3M,-0.44
EUR.OIS.4M,-0.4625
EUR.OIS.5M,-0.46
EUR.OIS.6M,-0.471
EUR.OIS.7M,-0.48
EUR.OIS.8M,-0.488
EUR.OIS.9M,-0.492
EUR.OIS.10M,-0.503
EUR.OIS.11M,-0.509
EUR.OIS.12M,-0.51
EUR.OIS.18M,-0.543
EUR.OIS.2Y,-0.56
EUR.OIS.30M,-0.564
EUR.OIS.3Y,-0.566
EUR.OIS.4Y,-0.556
EUR.OIS.5Y,-0.517
EUR.OIS.6Y,-0.473
EUR.OIS.7Y,-0.418
EUR.OIS.8Y,-0.353
EUR.OIS.9Y,-0.285
EUR.OIS.10Y,-0.219
EUR.OIS.11Y,-0.153
EUR.OIS.12Y,-0.092
EUR.OIS.15Y,0.06
EUR.OIS.20Y,0.211
EUR.OIS.25Y,0.268
EUR.OIS.30Y,0.283
EUR.OIS.35Y,0.2795
EUR.OIS.40Y,0.216
PLN.DEPOSIT.6M,1.79
PLN.FRA.1M,1.79
PLN.FRA.2M,1.79
PLN.FRA.3M,1.7875
PLN.FRA.4M,1.7816999999999998
PLN.FRA.5M,1.7810000000000001
PLN.FRA.6M,1.78
PLN.FRA.12M,1.7525
PLN.SWAP.2Y,1.7650000000000001
PLN.SWAP.3Y,1.7650000000000001
PLN.SWAP.4Y,1.775
PLN.SWAP.5Y,1.7850000000000001
PLN.SWAP.6Y,1.79
PLN.SWAP.7Y,1.79
PLN.SWAP.8Y,1.7925
PLN.SWAP.9Y,1.8050000000000002
PLN.SWAP.10Y,1.8225
PLN.SWAP.15Y,1.855
PLN.SWAP.20Y,1.895
PLN.SWAP.30Y,1.7787
TWD.DEPOSIT.1W,0.26589
TWD.DEPOSIT.2W,0.34222
TWD.DEPOSIT.1M,0.54567
TWD.DEPOSIT.2M,0.62622
TWD.DEPOSIT.3M,0.66811
TWD.SWAP.1Y,0.645
TWD.SWAP.2Y,0.645
TWD.SWAP.3Y,0.655
TWD.SWAP.4Y,0.675
TWD.SWAP.5Y,0.705
TWD.SWAP.7Y,0.7875
TWD.SWAP.10Y,0.9375
TWD.SWAP.12Y,1.015
TWD.SWAP.15Y,1.09
PLN.DEPOSIT.3M,1.72
PLN.FRA3M.1M,1.72
PLN.FRA3M.2M,1.7175
PLN.FRA3M.3M,1.7149999999999999
PLN.FRA3M.4M,1.7103000000000002
PLN.FRA3M.5M,1.7076
PLN.FRA3M.6M,1.705
PLN.FRA3M.7M,1.701
PLN.FRA3M.8M,1.6964000000000001
PLN.FRA3M.9M,1.69
PLN.FRA3M.12M,1.6800000000000002
PLN.FRA3M.15M,1.6600000000000001
PLN.FRA3M.18M,1.635
PLN.FRA3M.21M,1.605
PLN.SWAP3M.3Y,1.49
PLN.SWAP3M.4Y,1.71
PLN.SWAP3M.5Y,1.47
PLN.SWAP3M.6Y,1.47
PLN.SWAP3M.7Y,1.48
PLN.SWAP3M.8Y,1.49
PLN.SWAP3M.9Y,1.51
PLN.SWAP3M.10Y,1.73
PLN.SWAP3M.12Y,1.56
PLN.SWAP3M.15Y,1.65
PLN.SWAP3M.20Y,1.74
COP.ON.1D,4.105
COP.OIS.1M,4.125
COP.OIS.3M,4.135
COP.OIS.6M,4.14
COP.OIS.9M,4.155
COP.OIS.12M,4.165
COP.OIS.18M,4.235
COP.OIS.2Y,4.155
COP.OIS.3Y,4.285
COP.OIS.4Y,4.44
COP.OIS.5Y,4.555
COP.OIS.7Y,4.85
COP.OIS.8Y,4.965
COP.OIS.10Y,5.225
COP.OIS.12Y,5.43
COP.OIS.15Y,5.555
COP.OIS.20Y,5.775
EUR.DEPOSIT.3M,-0.394
EUR.FUTURE.1,100.394
EUR.FUTURE.2,100.435
EUR.FUTURE.3,100.48
EUR.FUTURE.4,100.505
EUR.FUTURE.5,100.52
EUR.FUTURE.6,100.53
EUR.FUTURE.7,100.52
EUR.FUTURE.8,100.515
EUR.FUTURE.9,100.505
EUR.FUTURE.10,100.495
EUR.FUTURE.11,100.475
EUR.FUTURE.12,100.46
EUR.SWAP3M.3Y,-0.49
EUR.SWAP3M.4Y,-0.467
EUR.SWAP3M.5Y,-0.435
EUR.SWAP3M.6Y,-0.382
EUR.SWAP3M.7Y,-0.323
EUR.SWAP3M.8Y,-0.254
EUR.SWAP3M.9Y,-0.184
EUR.SWAP3M.10Y,-0.114
EUR.SWAP3M.11Y,-0.05
EUR.SWAP3M.12Y,0.014
EUR.SWAP3M.15Y,0.1713
EUR.SWAP3M.20Y,0.3175
EUR.SWAP3M.25Y,0.37
EUR.SWAP3M.30Y,0.38
EUR.SWAP3M.35Y,0.372
EUR.SWAP3M.40Y,0.3496
EUR.SWAP3M.50Y,0.3075
AUD.ON.1D,1.0
AUD.OIS.1W,0.995
