quote,ticker
PLN.SWAP3M.9Y,PZSW9V3 CMPN Curncy
PLN.SWAP3M.10Y,PZSW10V3 CMPN Curncy
PLN.SWAP3M.12Y,PZSW12V3 CMPN Curncy
PLN.SWAP3M.15Y,PZSW15V3 CMPN Curncy
PLN.SWAP3M.20Y,PZSW20V3 CMPN Curncy
COP.ON.1D,COOVIBR Index
COP.OIS.1M,CLSWIBA CMPN Curncy
COP.OIS.3M,CLSWIBC CMPN Curncy
COP.OIS.6M,CLSWIBF CMPN Curncy
COP.OIS.9M,CLSWIBI CMPN Curncy
COP.OIS.12M,CLSWIB1 CMPN Curncy
COP.OIS.18M,CLSWIB1F CMPN Curncy
COP.OIS.2Y,CLSWIB2 BGN  Curncy
COP.OIS.3Y,CLSWIB3 BGN  Curncy
COP.OIS.4Y,CLSWIB4 BGN  Curncy
COP.OIS.5Y,CLSWIB5 BGN  Curncy
COP.OIS.7Y,CLSWIB7 BGN  Curncy
COP.OIS.8Y,CLSWIB8 BGN  Curncy
COP.OIS.10Y,CLSWIB10 BGN  Curncy
COP.OIS.12Y,CLSWIB12 BGN  Curncy
COP.OIS.15Y,CLSWIB15 BGN  Curncy
COP.OIS.20Y,CLSWIB20 BGN  Curncy
EUR.DEPOSIT.3M,EUR003M Index
EUR.FUTURE.1,ER1 Comdty
EUR.FUTURE.2,ER2 Comdty
EUR.FUTURE.3,ER3 Comdty
EUR.FUTURE.4,ER4 Comdty
EUR.FUTURE.5,ER5 Comdty
EUR.FUTURE.6,ER6 Comdty
EUR.FUTURE.7,ER7 Comdty
EUR.FUTURE.8,ER8 Comdty
EUR.FUTURE.9,ER9 Comdty
EUR.FUTURE.10,ER10 Comdty
EUR.FUTURE.11,ER11 Comdty
EUR.FUTURE.12,ER12 Comdty
EUR.SWAP3M.3Y,EUSW3V3 Index
EUR.SWAP3M.4Y,EUSW4V3 Index
EUR.SWAP3M.5Y,EUSW5V3 Index
EUR.SWAP3M.6Y,EUSW6V3 Index
EUR.SWAP3M.7Y,EUSW7V3 Index
EUR.SWAP3M.8Y,EUSW8V3 Index
EUR.SWAP3M.9Y,EUSW9V3 Index
EUR.SWAP3M.10Y,EUSW10V3 Index
EUR.SWAP3M.11Y,EUSW11V3 Index
EUR.SWAP3M.12Y,EUSW12V3 Index
EUR.SWAP3M.15Y,EUSW15V3 Index
EUR.SWAP3M.20Y,EUSW20V3 Index
EUR.SWAP3M.25Y,EUSW25V3 Index
EUR.SWAP3M.30Y,EUSW30V3 Index
EUR.SWAP3M.35Y,EUSW35V3 Index
EUR.SWAP3M.40Y,EUSW40V3 Index
EUR.SWAP3M.50Y,EUSW50V3 Index
AUD.ON.1D,RBACOR Index
AUD.OIS.1W,ADSO1Z CMPN Curncy
AUD.OIS.1M,ADSOA CMPN Curncy
AUD.OIS.2M,ADSOB CMPN Curncy
AUD.OIS.3M,ADSOC CMPN Curncy
AUD.OIS.4M,ADSOD CMPN Curncy
AUD.OIS.5M,ADSOE CMPN Curncy
AUD.OIS.6M,ADSOF CMPN Curncy
AUD.OIS.9M,ADSOI CMPN Curncy
AUD.OIS.1Y,ADSO1 CMPN Curncy
AUD.OIS.18M,ADSO1F CMPN Curncy
AUD.OIS.2Y,ADSO2 CMPN Curncy
AUD.OIS.3Y,ADSO3 CMPN Curncy
AUD.OIS.4Y,ADSO4 CMPN Curncy
